Year,Number of votes,Title,Screenwriter,Gender,Description,Agency,Agents,Management,Managers,Producer,Financier
2009,7,The King's Speech,David Seidler,M,"George VI, also known as Bertie, reluctantly takes the throne of England when his brother, Edward, abdicates in 1936. The unprepared king turns to a radical speech herapist, Lionel Logue, to help overcome his nervous stutter and the two forge a friendship.",,,,Jeff Aghassi,Bedlam Pictures and See-Saw Films,Weinstein Company
2009,7,The Ghost and the Wolf,Rylend Grant and Dikran Ornekian,M,"An ex-cop and his old partner must reunite, burying years of distrust, to take on the vicious Russian mobsters who altered their lives profoundly in the 90s… destroying one and propelling the other to Captain",,,Industry Entertainment ,Andrew Deane,,
2009,6,Con Men,Eric Lane,M,"Greg Weinstock and Kevin Russell, two drug reps from Burlington Labs with nothing in common aside from a shared gift of moving product, are dispatched to a convention to hook the biggest sale of their lives",,,,,Shay Weiner,
2009,6,The Blind Rage of Peacoat Miller,Adam Penn,M,"A college student home for the holidays discovers that an internet porn film turns its viewer into homicidal maniacs. As the epidemic spreads, he has to save his longtime crush while struggling to control his own urges",CAA,"Billy Hawkins, Brian Kavanaugh-Jones",Energy ,"Adam Marshall, Milana Rabkin",Michael de Luca Productions and David Gordon Green,
2009,6,Josh,Gary Ross,M,The lives of a single father and his teenaged son are dramatically changed when the boy’s mother returns and wants to be part of her son’s life.,CAA,"David O’Connor, Maha Dakhil",,,Larger Than Life,Universal
2009,6,My Sister is Marrying a Douchebag,Wendy Molyneux and Lizzie Molyneux,F,"A young woman, thinking that her sister’s new fiance is a douchebag, sets out to sabotage their wedding",WME,"Phil D’amecourt, Simon Faber",Kaplan/Perrone,"Aaron Kaplan, Sean Perrone",,
2009,7,The Low Self Esteem of Lizzie Gillespie,Mindy Kaling and Brent Forrester,B,A single girl in Manhattan dates the hottest guy in the world but must overcome her insecurities when she hears him deny they are dating.,UTA,"Blair Kohan, Julien Thuan",3 Arts,Howard Klein,,Mandate
2009,6,Renko Vega and the Jennifer Nine,John Raffo,M,"Renko Vega, once a hero and now a rogue thief wandering the galaxy with his hyperintelligent spaceship the Jennifer 9, is forced to become a hero once again when the young daughter of the President of Earth is kidnapped",ACA,"Debbie Deuble Hill, Sheryl Peterson",Brucks Entertainment,Brian Brucks,,
2009,6,Norm the Movie,Sam Esmail,M,A buddy comedy in which a guy is transported into a movie… or so he thinks.,WME,"Mike Esola, Danny Gabai",Energy,"Adam Marshall, Milana Rabkin",,
2009,6,Smash and Grab,Marc Wolff,M,"When his wife is kidnapped, a reformed thief has to team up with his hapless ex-partner to save her, while dodging the LAPD, the FBI, and various members of the Los Angeles underworld.",UTA,Tobin Babst,Mason Novick,,Mason Novick and Julie Yorn,
2009,6,The True Memoirs of an International Assassin,Jeff Morris,M,"oe, an insecure writer with a boring desk job, finally manages to sell his assassin novel, The Memoirs of an International Assassin to the one publisher that will buy it. To his horror the publisher retitles it The True Memoirs of an International Assassin and markets the book as non-fiction — making it seem as if Joe is the assassin himself. He soon finds himself in the crosshairs of the CIA, various drug lords, the media, and a beautiful investigative journalist while on a vacation in Belize",WME,,Art/Work Entertainment,Julie Bloom,Michael De Luca,The Film Department
2009,6,"No Blood, No Guts, No Glory",Chase Palmer,M,A spy and twenty Union soldiers in disguise board a train in Georgia to execute a scheme that could bring a quick end to the U.S. Civil War.,WME,Gotham Group,"Peter McHugh, Lindsay Williams",,Misher Films,
2009,5,Allies with Benefits,Elizabeth Wright Shapiro,F,"The female President of The United States falls for her old college fling, the now Prime Minister of England.",UTA,"Blair Kohan, Tobin Babst, Jay Gassner",Industry,Jess Rosenthal,Scott Free,
2009,5,30 Minutes or Less,Matthew Sullivan and Michael Diliberti,M,A comedy about a pizza delivery guy on an unlikely caper.,WME,"Bill Weinstein, Simon Faber",New School Media,Brian Levy,Red Hour Films and New School Media,
2009,5,Comic Con,Matthew Sullivan and Michael Diliberti,M,"To save their beloved neighborhood comic shop, a justice league of comic geeks must plan and execute a daring heist at Comic-Con.",WME,"Bill Weinstein, Simon Faber",New School Media,Brian Levy,,
2009,5,Crook Factory,Nicholas Meyer,M,Based on the novel by Dan Simmons and true events. An FBI agent is ordered to baby-sit Ernest Hemingway as he goes about running a motley spy ring in WWII Cuba.,,,Alan Gasmer & Friends,Alan Gasmer,Infinitum Nihil,Warner Brothers
2009,6,The Umbrella Academy,Mark Bomback,M,"Based on the comic book written by Gerard Way. After being raised by a brilliant scientist and a hyper-intelligent chimp, six super-powered former ‘child superheroes’ reunite to stop one of their own from leading a violin symphony that will destroy the world",WME,Jason Spitz,Anonymous Content,Adam Shulman,Stuber Productions and Dark Horse Entertainment,Universal
2009,5,Hanna,David Farr,M,A fourteen year old girl is raised by her father to be a cold hearted killing machine.,CAA,"Bob Bookman, Josh Krauss",,Curtis Brown – Nick Marston,Adelstein Productions,Focus Features
2009,5,The Hand Job,Maggie Carey,F,A coming-of-age comedy about a teenage girl who gives her first hand job (among other life experiences).,UTA,"Blair Kohan, Julien Thuan",3 Arts,"Greg Walter, Tom Lassally",Team Todd,
2009,5,The Hungry Rabbit Jumps,Robert Tannen,M,A man becomes entangled in a secret society that forces him to murder.,Featured Artists,Brian Dreyfuss,The Shuman Company,AB Fischer,Maguire Entertainment and Endgame Entertainment,
2009,5,Due Date,Alan R. Cohen and Alan Freedland,M,An uptight father-to-be is forced to travel across the country with an idiotic stoner in order to close a major business deal and make it home in time for the birth of his first child.”,WME,"Jason Spitz, Richard Weitz, Mike Esola",,,Legendary Pictures and Green Hat Films,Warner Brothers
2009,5,The Curse of Medusa,J Lee and Tom Welch,M,An origin story of Medusa the Gorgon.,,,Anonymous Content,Adam Kossack,Original Films,
